,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
State/Higher Education Institution,Retention rate (normal calculation)(j),,,,,,,,,,,,,,,Retention rate (adjusted calculation)(k),,,,,,,,,
Tasmania,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Maritime College(h),75.96,76.55,69.72,68.22,71.43,84.15,(h),(h),(h),(h),(h),(h),(h),(h),,81.73,88.31,63.64,(h),(h),(h),(h),(h),(h),(h)
University of Tasmania(h),81.34,79.99,80.03,79.38,80.72,77.82,76.67,77.78,80.46,77.32,78.09,73.40,60.89,55.51,,82.29,80.57,80.67,80.93,83.35,80.51,81.61,77.75,65.08,59.79
State Total,81.18,79.87,79.65,79.02,80.46,77.97,76.67,77.78,80.46,77.32,78.09,73.40,60.89,55.51,,82.28,80.74,80.18,80.93,83.35,80.51,81.61,77.75,65.08,59.79
Northern Territory,,,,,,,,,,,,,,,,,,,,,,,,,
Batchelor Institute of Indigenous Tertiary Education(i),90.00,50.00,53.33,9.68,59.38,60.00,55.56,54.12,59.54,43.80,0.00,(g),(g),(g),,59.38,60.00,55.56,57.81,60.12,50.41,49.57,(g),(g),(g)
Charles Darwin University(i),63.93,64.60,65.14,66.35,66.98,66.82,67.45,68.13,67.56,66.04,66.38,67.10,67.17,66.92,,71.43,70.28,71.74,72.91,74.40,72.40,72.31,72.81,73.40,73.35
State Total,64.13,64.23,65.00,65.00,66.67,66.47,66.84,66.59,66.84,64.65,62.18,67.10,67.17,66.92,,70.93,69.76,70.90,71.26,73.10,71.02,70.86,72.81,73.40,73.35
Australian Capital Territory,,,,,,,,,,,,,,,,,,,,,,,,,
The Australian National University,82.17,82.11,85.75,88.39,87.92,88.29,86.78,88.65,89.79,88.50,89.84,86.88,85.93,86.71,,91.65,91.51,91.43,93.33,94.69,93.66,94.46,93.14,91.87,92.35
University of Canberra,79.83,81.07,81.05,81.76,80.50,78.45,79.67,80.40,80.48,78.91,77.59,77.74,76.94,77.04,,85.42,83.83,84.47,85.47,87.00,84.35,84.54,84.57,81.98,82.08
State Total,80.93,81.60,83.14,84.98,83.93,83.07,83.21,84.48,84.20,82.71,82.49,81.69,80.42,80.96,,88.31,87.43,87.94,89.36,90.07,88.04,88.50,88.27,85.81,86.25
Multi-State,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Catholic University,78.33,79.86,79.28,80.96,79.84,81.98,82.30,79.33,78.58,78.09,76.47,77.44,77.70,76.56,,86.46,87.17,87.97,87.17,86.95,86.28,86.56,86.46,85.77,84.49
State Total,78.33,79.86,79.28,80.96,79.84,81.98,82.30,79.33,78.58,78.09,76.47,77.44,77.70,76.56,,86.46,87.17,87.97,87.17,86.95,86.28,86.56,86.46,85.77,84.49
,,,,,,,,,,,,,,,,,,,,,,,,,
"(a) Retention rate for year(x) = the number of students who commenced a bachelor course in year(x) and did not complete in year (x), and continued in year(x+1) (retained students), as a proportion of all students who commenced a bachelor course in year(x) and did not complete in year(x).",,,,,,,,,,,,,,,,,,,,,,,,,
"(b) Includes only Public Universities (Table A) and Table B Universities. Institution name reflects the trading name of the institution. In some cases, institution name has changed since the release of 2014 full year data.",,,,,,,,,,,,,,,,,,,,,,,,,
(c) Figures are based on full year data.,,,,,,,,,,,,,,,,,,,,,,,,,
(d) Data for the Australian Defence Force Academy are included under The University of New South Wales.,,,,,,,,,,,,,,,,,,,,,,,,,
(e) Previously University of Ballarat.,,,,,,,,,,,,,,,,,,,,,,,,,
"(f) Prior to 2006 The University of Melbourne classified Study Abroad students as award. These were re-classified in 2006 to non-award, removing them from the scope of Retention calculation and affecting the rates.",,,,,,,,,,,,,,,,,,,,,,,,,
(g) There were no domestic commencing bachelor students at the institution.,,,,,,,,,,,,,,,,,,,,,,,,,
"(h) From 2007 onwards, data for the Australian Maritime College are reported as part of the University of Tasmania.",,,,,,,,,,,,,,,,,,,,,,,,,
"(i) As a result of a collaborative partnership between Batchelor Institute of Indigenous Tertiary Education and Charles Darwin University which established The Australian Centre for Indigenous Knowledge and Education (ACIKE),",,,,,,,,,,,,,,,,,,,,,,,,,
the delivery of most undergraduate programs will be at Charles Darwin University from 2012.,,,,,,,,,,,,,,,,,,,,,,,,,
"(j) Retention rate (normal calculation) is based on a match process using the students' StudentID. This gives a ""crude"" retention rate, which identifies students that are retained the following year at the same institution.",,,,,,,,,,,,,,,,,,,,,,,,,
"(k) Retention rate (adjusted calculation) is based on a match process using both the StudentID and CHESSN. This gives a more accurate retention rate calculation, as it identifies students at either the same or a different higher education institution. In other words,",,,,,,,,,,,,,,,,,,,,,,,,,
"if a student moves from one institution to another in the following year, he or she would be counted as retained in the adjusted retention rate calculation, but attrited in the normal retention rate calculation.",,,,,,,,,,,,,,,,,,,,,,,,,
"Please note that the CHESSN is only required for Commonwealth Assisted students, which means the Adjusted Retention Rate calculation using CHESSN will not be available for some students (namely non-Fee-HELP fee-paying students),",,,,,,,,,,,,,,,,,,,,,,,,,
although these students can still be matched using their Student ID if they studied the following year at the same institution.,,,,,,,,,,,,,,,,,,,,,,,,,
